Фаин~ Раневск~ 
Нин~ Дробышев~ 
Ольг~ Дроздов~ 
Татьян~ Друбич~ 
Светлан~ Дружинин~ 
Ян~ Друзь 
Марин~ Дюжев~ 
Наталь~ Егоров~ 
Янин~ Жейм~ 
Анастас~ Заворотнюк~ 
Людмил~ Зайцев~ 
Валер~ Заклунн~ 
Ирин~ Зарубин~ 
Александр~ Захаров~ 
Елен~ Захаров~ 
Наталь~ Защипин~ 
Рин~ Зелён~ 
Зо~ Зелинск~ 
Марин~ Зудин~ 
Анастас~ Зуев~ 
Изольд~ Извицк~ 
Ольг~ Каб~ 
Анн~ Каменков~ 
Валентин~ Караваев~ 
Светлан~ Карпинск~ 
Людмил~ Касаткин~ 
Ксен~ Качалин~ 
Екатерин~ Климов~ 
Ирин~ Климов~ 
Анн~ Ковальчук~ 
Елен~ Козельков~ 
Татьян~ Колганов~ 
Татьян~ Конюхов~ 
Дин~ Корзун~ 
Елен~ Кориков~ 
Светлан~ Коркошк~ 
Нин~ Корниенк~ 
Валентин~ Кособуцк~ 
Наталь~ Крачковск~ 
Светлан~ Крючков~ 
Ирин~ Купченк~ 
Наталь~ Кустинск~ 
Алл~ Ларионов~ 
Марин~ Левтов~ 
Анн~ Легчилов~ 
Эльз~ Леждей~ 
Ирин~ Линдт~ 
Ренат~ Литвинов~ 
Ларис~ Лужин~ 
Татьян~ Лютаев~ 
Ирин~ Мазуркевич~ 
Елен~ Майоров~ 
Роз~ Макагонов~ 
Людмил~ Максаков~ 
Ларис~ Малеванн~ 
Ирин~ Малышев~ 
Вер~ Марецк~ 
Римм~ Марков~ 
Людмил~ Марченк~ 
Ольг~ Машн~ 
Анастас~ Мельников~ 
Май~ Менглет~ 
Дарь~ Михайлов~ 
Дарь~ Мороз~ 
Нинел~ Мышков~ 
Ольг~ Науменк~ 
Анжелик~ Неволин~ 
Наталь~ Негод~ 
Людмил~ Нильск~ 
Елизавет~ Никищихин~ 
Руфин~ Нифонтов~ 
Тамар~ Носов~ 
Инг~ Стрелкова-Оболдин~ 
Люсьен~ Овчинников~ 
Татьян~ Окуневск~ 
Кристин~ Орбакайт~ 
Татьян~ Пельтцер~ 
Ирин~ Печерников~ 
Татьян~ Пилецк~ 
Софь~ Пилявск~ 
Любов~ Полехин~ 
Марьян~ Полтев~ 
Людмил~ Поляков~ 
Ян~ Поплавск~ 
Нин~ Попов~ 
Мар~ Порошин~ 
Елен~ Проклов~ 
Нелл~ Пшённ~ 
Екатерин~ Редников~ 
Ирин~ Резников~ 
Ирин~ Розанов~ 
Ад~ Роговцев~ 
Наталь~ Рудн~ 
Клар~ Румянцев~ 
Нин~ Русланов~ 
Юл~ Рутберг~ 
Ия~ Саввин~ 
Людмил~ Савельев~ 
Ирин~ Савин~ 
Екатерн~ Савинов~ 
Нин~ Сазонов~ 
Наталь~ Сайк~ 
Елен~ Санаев~ 
Наталь~ Селезнёв~ 
Екатерин~ Семёнов~ 
Маргарит~ Сергеечев~ 
Валентин~ Серов~ 
Ирин~ Скобцев~ 
Зинаид~ Славин~ 
Алик~ Смехов~ 
Лид~ Смирнов~ 
Любов~ Соколов~ 
Мар~ Соломин~ 
Вер~ Сотников~ 
Ольг~ Сошников~ 
Валентин~ Сперантов~ 
Олес~ Судзиловск~ 
Лид~ Сухаревск~ 
Алл~ Тарасов~ 
Глафир~ Тарханов~ 
Юл~ Тархов~ 
Валентин~ Телегин~ 
Валентин~ Теличкин~ 
Наталь~ Теняков~ 
Анн~ Терехов~ 
Валентин~ Титов~ 
Любов~ Толкалин~ 
Виктор~ Толстоганов~ 
Светлан~ Тормахов~ 
Галин~ Тюнин~ 
Нелл~ Уваров~ 
Ларис~ Удовиченк~ 
Инн~ Ульянов~ 
Евген~ Уралов~ 
Нин~ Ургант~ 
Оксан~ Фандер~ 
Надежд~ Федосов~ 
Виктор~ Фёдоров~ 
Зо~ Фёдоров~ 
Чулпан~ Хаматов~ 
Евген~ Ханаев~ 
Людмил~ Хитяев~ 
Людмил~ Целиковск~ 
Софик~ Чиаурел~ 
Людмил~ Шагалов~ 
Мар~ Шалаев~ 
Елен~ Шанин~ 
Зинаид~ Шарк~ 
Ларис~ Шахворостов~ 
Нин~ Шацк~ 
Ирин~ Шевчук~ 
Ариадн~ Шенгел~ 
Валентин~ Шендриков~ 
Антонин~ Шуранов~ 
Жанн~ Эппл~ 
Александр~ Яковлев~ 
Алён~ Яковлев~ 
Марин~ Яковлев~ 
Ольг~ Яковлев~ 
Галин~ Яцкин~  

гришаев~





